name,layer_type,out_features,in_features,n,p_minus,p_zero,p_plus,H0,H1_row_prev,H1_col_prev,packed_bits_per_w_ref1p6,actual_aegis_packed_bits_per_w,rans0_bits_per_w,rans1_bits_per_w,zstd19_bits_per_w,xz9_bits_per_w,bytes_packed_ref,bytes_packed_actual,bytes_rans0,bytes_rans1,bytes_zstd19,bytes_xz9,n_anomaly_code3,roundtrip_mismatches
model.layers.14.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.30183959007263184,0.39618992805480957,0.3019704818725586,1.5724882185758413,1.5724442995340593,1.5724620578192496,1.6,2.0,1.5793838500976562,1.5793304443359375,1.5835208892822266,1.6048736572265625,838860.8,1048576,828052,828024,830221,841416,0,0
model.layers.14.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.25969934463500977,0.47989583015441895,0.2604048252105713,1.518936954957444,1.5136870991211016,1.5135647928472458,1.6,2.0,1.5257453918457031,1.5206260681152344,1.5135822296142578,1.499237060546875,838860.8,1048576,799930,797246,793553,786032,0,0
model.layers.14.self_attn.v_proj.weight,attn_v,256,2048,524288,0.3169269561767578,0.3668384552001953,0.3162345886230469,1.5813746051433935,1.5813555796916186,1.580529849986368,1.6,2.0,1.637054443359375,1.63726806640625,1.594268798828125,1.62615966796875,104857.6,131072,107286,107300,104482,106572,0,0
model.layers.15.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2964824570549859,0.4072534243265788,0.2962641186184353,1.5677822733679432,1.5677839182763353,1.5677112941571836,1.6,2.0,1.5693113538953993,1.5693155924479167,1.5781389872233074,1.5987481011284723,3774873.6,4718592,3702470,3702480,3723297,3771920,0,0
model.layers.15.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.29015519883897567,0.41811015870836044,0.29173464245266384,1.5624500332391267,1.562378232761462,1.5622037572796108,1.6,2.0,1.5639851888020833,1.56392330593533,1.5727276272243924,1.5924852159288194,3774873.6,4718592,3689904,3689758,3710530,3757144,0,0
model.layers.15.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.29999860127766925,0.39991866217719185,0.3000827365451389,1.5709843243068882,1.5709506411584748,1.5709719019800077,1.6,2.0,1.5725343492296007,1.5724885728624132,1.5810525682237413,1.6019049750434027,3774873.6,4718592,3710074,3709966,3730171,3779368,0,0
model.layers.15.self_attn.k_proj.weight,attn_k,256,2048,524288,0.20920181274414062,0.5822010040283203,0.20859718322753906,1.3982129801804986,1.3641940741087835,1.3678295478713887,1.6,2.0,1.453033447265625,1.419219970703125,1.3385162353515625,1.30487060546875,104857.6,131072,95226,93010,87721,85516,0,0
model.layers.15.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.2979121208190918,0.40418291091918945,0.29790496826171875,1.5691620013964074,1.569146400133484,1.569148949614317,1.6,2.0,1.5760269165039062,1.5760383605957031,1.5794105529785156,1.60150146484375,838860.8,1048576,826292,826298,828066,839648,0,0
model.layers.15.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.24287676811218262,0.5149068832397461,0.2422163486480713,1.4844511957250432,1.472906933993635,1.4719818604484112,1.6,2.0,1.4913406372070312,1.4797935485839844,1.4618473052978516,1.44293212890625,838860.8,1048576,781892,775838,766429,756512,0,0
model.layers.15.self_attn.v_proj.weight,attn_v,256,2048,524288,0.267547607421875,0.46329498291015625,0.26915740966796875,1.5328106693314794,1.5328174871933153,1.5325133431556321,1.6,2.0,1.58740234375,1.58758544921875,1.5398406982421875,1.57763671875,104857.6,131072,104032,104044,100915,103392,0,0
model.layers.16.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.28288910124037003,0.4341921806335449,0.28291871812608504,1.553275819881196,1.5532697819624022,1.5532151211068412,1.6,2.0,1.554811265733507,1.5548155042860243,1.562233395046658,1.584898206922743,3774873.6,4718592,3668260,3668270,3685771,3739244,0,0
model.layers.16.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2738664944966634,0.4488837454054091,0.2772497600979275,1.5435489311373032,1.543488338047057,1.5432504164056886,1.6,2.0,1.5450803968641493,1.5450346204969618,1.551327599419488,1.5734795464409723,3774873.6,4718592,3645302,3645194,3660041,3712304,0,0
model.layers.16.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.2991336186726888,0.4015802807278103,0.2992861005995009,1.5702871880630123,1.57025596095523,1.570268868907347,1.6,2.0,1.5718104044596355,1.5718010796440973,1.5805507236056857,1.600557115342882,3774873.6,4718592,3708366,3708344,3728987,3776188,0,0
model.layers.16.self_attn.k_proj.weight,attn_k,256,2048,524288,0.2590198516845703,0.480743408203125,0.2602367401123047,1.5181843202398624,1.4814813367973274,1.4861339461269647,1.6,2.0,1.572845458984375,1.53656005859375,1.4429473876953125,1.4298095703125,104857.6,131072,103078,100700,94565,93704,0,0
model.layers.16.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.2728402614593506,0.4541018009185791,0.2730579376220703,1.5398110790876842,1.5397449759014388,1.539765400661314,1.6,2.0,1.546661376953125,1.5466384887695312,1.5471973419189453,1.5722122192382812,838860.8,1048576,810896,810884,811177,824292,0,0
model.layers.16.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.2437419891357422,0.5124647617340088,0.24379324913024902,1.487086884051728,1.4745862796795854,1.474165285416996,1.6,2.0,1.4939117431640625,1.4815025329589844,1.4610862731933594,1.444976806640625,838860.8,1048576,783240,776734,766030,757584,0,0
model.layers.16.self_attn.v_proj.weight,attn_v,256,2048,524288,0.25238800048828125,0.49598121643066406,0.2516307830810547,1.503971361610376,1.50398089824394,1.5037866163659945,1.6,2.0,1.558807373046875,1.5589599609375,1.5067291259765625,1.5496826171875,104857.6,131072,102158,102168,98745,101560,0,0
model.layers.17.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2809702555338542,0.4379412333170573,0.28108851114908856,1.5509175644010815,1.5509235585517165,1.5508331545561633,1.6,2.0,1.552445305718316,1.5524495442708333,1.5595537821451824,1.5816582573784723,3774873.6,4718592,3662678,3662688,3679449,3731600,0,0
model.layers.17.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2908194859822591,0.4150691032409668,0.2941114107767741,1.5640032117900948,1.5639558048178877,1.5637270585513598,1.6,2.0,1.5655458238389757,1.56551021999783,1.5741835700141058,1.5935838487413194,3774873.6,4718592,3693586,3693502,3713965,3759736,0,0
model.layers.17.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.28659889433119035,0.42702584796481663,0.2863752577039931,1.5575537127948222,1.5575233772792052,1.5575396215992976,1.6,2.0,1.5590871175130208,1.559067620171441,1.5664999220106337,1.5876040988498263,3774873.6,4718592,3678348,3678302,3695837,3745628,0,0
model.layers.17.self_attn.k_proj.weight,attn_k,256,2048,524288,0.2229595184326172,0.5541896820068359,0.22285079956054688,1.4373206225832607,1.4286320817470584,1.4309886468839972,1.6,2.0,1.492156982421875,1.48358154296875,1.42938232421875,1.42449951171875,104857.6,131072,97790,97228,93676,93356,0,0
model.layers.17.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.30419158935546875,0.3920409679412842,0.30376744270324707,1.5740628527454985,1.5740315657719024,1.574024677426244,1.6,2.0,1.5809326171875,1.5809440612792969,1.5845317840576172,1.6062393188476562,838860.8,1048576,828864,828870,830751,842132,0,0
model.layers.17.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.2394568920135498,0.5202810764312744,0.24026203155517578,1.4785307985481295,1.4724738304592153,1.472407600307604,1.6,2.0,1.4853363037109375,1.479339599609375,1.4662590026855469,1.4558334350585938,838860.8,1048576,778744,775600,768742,763276,0,0
model.layers.17.self_attn.v_proj.weight,attn_v,256,2048,524288,0.2739696502685547,0.45131683349609375,0.27471351623535156,1.5418330719757343,1.541828492316574,1.5410608272593,1.6,2.0,1.596954345703125,1.59710693359375,1.5505523681640625,1.58624267578125,104857.6,131072,104658,104668,101617,103956,0,0
model.layers.18.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2788008583916558,0.4426131248474121,0.2785860167609321,1.5478635215288346,1.5478614510492215,1.5477336507006942,1.6,2.0,1.5493943956163194,1.5493977864583333,1.5559815300835504,1.5791185167100694,3774873.6,4718592,3655480,3655488,3671021,3725608,0,0
model.layers.18.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2902655601501465,0.415822876824273,0.2939115630255805,1.5636177533062032,1.5635183718520524,1.5634133099285217,1.6,2.0,1.5651643541124132,1.5650694105360243,1.5738665262858074,1.5931939019097223,3774873.6,4718592,3692686,3692462,3713217,3758816,0,0
model.layers.18.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.29718801710340714,0.4060471322801378,0.2967648506164551,1.568330862956837,1.5682852874104434,1.568323016718106,1.6,2.0,1.5698623657226562,1.5698310004340277,1.5785530938042536,1.5980665418836806,3774873.6,4718592,3703770,3703696,3724274,3770312,0,0
model.layers.18.self_attn.k_proj.weight,attn_k,256,2048,524288,0.25398826599121094,0.4921245574951172,0.2538871765136719,1.5076964612106174,1.5033207185133615,1.5054208377033964,1.6,2.0,1.56256103515625,1.558319091796875,1.5093536376953125,1.5125732421875,104857.6,131072,102404,102126,98917,99128,0,0
model.layers.18.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.3077247142791748,0.3837547302246094,0.3085205554962158,1.5768952894121704,1.576833807347215,1.5768537465315666,1.6,2.0,1.5837821960449219,1.5837821960449219,1.5887699127197266,1.6092758178710938,838860.8,1048576,830358,830358,832973,843724,0,0
model.layers.18.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.2693004608154297,0.46165990829467773,0.2690396308898926,1.534094418658463,1.5302582943832024,1.5304350830114455,1.6,2.0,1.540985107421875,1.5371665954589844,1.523508071899414,1.522613525390625,838860.8,1048576,807920,805918,798757,798288,0,0
model.layers.18.self_attn.v_proj.weight,attn_v,256,2048,524288,0.324676513671875,0.34762001037597656,0.32770347595214844,1.5842944021037484,1.5842743792238263,1.5831658959007422,1.6,2.0,1.640472412109375,1.640594482421875,1.60089111328125,1.62762451171875,104857.6,131072,107510,107518,104916,106668,0,0
model.layers.19.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2831767400105794,0.4334750175476074,0.28334824244181317,1.5537174954710733,1.5537175674638573,1.5535009267397135,1.6,2.0,1.5552630954318576,1.5552614000108507,1.5620095994737413,1.5843912760416667,3774873.6,4718592,3669326,3669322,3685243,3738048,0,0
model.layers.19.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2897089852227105,0.41820282406277126,0.29208819071451825,1.5623976052226318,1.5622364257668675,1.5622240996275845,1.6,2.0,1.5639250013563368,1.5637681749131944,1.5720172458224826,1.5901353624131944,3774873.6,4718592,3689762,3689392,3708854,3751600,0,0
model.layers.19.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.28629302978515625,0.42736636267768013,0.2863406075371636,1.5573573445523339,1.5572807855501076,1.557353653338883,1.6,2.0,1.558897230360243,1.558820088704427,1.566098107231988,1.5872073703342013,3774873.6,4718592,3677900,3677718,3694889,3744692,0,0
model.layers.19.self_attn.k_proj.weight,attn_k,256,2048,524288,0.24539756774902344,0.5096931457519531,0.24490928649902344,1.4900353836876703,1.4705561869315391,1.4738682090127817,1.6,2.0,1.544586181640625,1.52569580078125,1.4745941162109375,1.44384765625,104857.6,131072,101226,99988,96639,94624,0,0
model.layers.19.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.2776315212249756,0.4450795650482178,0.27728891372680664,1.5461996270322342,1.546091647336163,1.5461167274843621,1.6,2.0,1.5530929565429688,1.5530014038085938,1.5548439025878906,1.5778274536132812,838860.8,1048576,814268,814220,815186,827236,0,0
model.layers.19.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.25385427474975586,0.4928433895111084,0.25330233573913574,1.5070083909100478,1.4988432035881507,1.498507060695875,1.6,2.0,1.5138893127441406,1.5056991577148438,1.4891090393066406,1.4779129028320312,838860.8,1048576,793714,789420,780722,774852,0,0
model.layers.19.self_attn.v_proj.weight,attn_v,256,2048,524288,0.32434844970703125,0.3525524139404297,0.32309913635253906,1.5837727907137809,1.5837110490675523,1.5823385529026321,1.6,2.0,1.637298583984375,1.63720703125,1.5939483642578125,1.62298583984375,104857.6,131072,107302,107296,104461,106364,0,0
model.layers.2.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.308100594414605,0.3840229246351454,0.30787648095024955,1.5768108208279097,1.5767924612343414,1.576809689723437,1.6,2.0,1.5783471001519098,1.5783335367838542,1.5870806376139324,1.6050516764322917,3774873.6,4718592,3723788,3723756,3744393,3786792,0,0
model.layers.2.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.3166065216064453,0.36703311072455513,0.31636036766899955,1.5813335863956737,1.5813296755336588,1.5812039761049412,1.6,2.0,1.5828721788194444,1.5828798082139757,1.5936563279893663,1.6129082573784723,3774873.6,4718592,3734464,3734482,3759907,3805328,0,0
model.layers.2.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.314929379357232,0.37015697691175675,0.3149136437310113,1.5806355702820278,1.5806334759695932,1.5805976841196265,1.6,2.0,1.5821762084960938,1.5821770562065973,1.5924284193250868,1.6122283935546875,3774873.6,4718592,3732822,3732824,3757010,3803724,0,0
model.layers.2.self_attn.k_proj.weight,attn_k,256,2048,524288,0.30873680114746094,0.380462646484375,0.31080055236816406,1.5779005142969496,1.5652924505367318,1.568797581975478,1.6,2.0,1.632904052734375,1.621063232421875,1.543731689453125,1.54449462890625,104857.6,131072,107014,106238,101170,101220,0,0
model.layers.2.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.3086228370666504,0.38245677947998047,0.30892038345336914,1.5773018213519472,1.5771477258509838,1.5772275235409927,1.6,2.0,1.5841560363769531,1.5839920043945312,1.5885372161865234,1.6087646484375,838860.8,1048576,830554,830468,832851,843456,0,0
model.layers.2.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.3123476505279541,0.3747408390045166,0.3129115104675293,1.5795015976510558,1.577891687451308,1.5775568942327765,1.6,2.0,1.5863723754882812,1.5848312377929688,1.5742244720458984,1.5866241455078125,838860.8,1048576,831716,830908,825347,831848,0,0
model.layers.2.self_attn.v_proj.weight,attn_v,256,2048,524288,0.3028907775878906,0.3944282531738281,0.30268096923828125,1.5731695717250536,1.5731544940721531,1.5728215150623395,1.6,2.0,1.628204345703125,1.628387451171875,1.5837554931640625,1.61627197265625,104857.6,131072,106706,106718,103793,105924,0,0
model.layers.20.mlp.down_proj.weight,ffn_down,2048,9216,18874368,0.2810431586371528,0.43806256188286674,0.28089427947998047,1.5508398584966598,1.550832520509345,1.550668455079335,1.6,2.0,1.5523740980360243,1.5523732503255208,1.5597750345865886,1.5813225640190973,3774873.6,4718592,3662510,3662508,3679971,3730808,0,0
model.layers.20.mlp.gate_proj.weight,ffn_gate,9216,2048,18874368,0.2669648594326443,0.4623206986321343,0.2707144419352214,1.533560079009035,1.5334647191698847,1.5333186362945659,1.6,2.0,1.535106235080295,1.5349994235568576,1.5386229621039496,1.5626458062065973,3774873.6,4718592,3621770,3621518,3630067,3686744,0,0
model.layers.20.mlp.up_proj.weight,ffn_up,9216,2048,18874368,0.28736469480726456,0.42513582441541886,0.28749948077731663,1.558631593864372,1.5585857307635003,1.558620840307612,1.6,2.0,1.560178968641493,1.5601331922743056,1.5682623121473525,1.5880872938368056,3774873.6,4718592,3680924,3680816,3699995,3746768,0,0
model.layers.20.self_attn.k_proj.weight,attn_k,256,2048,524288,0.23113632202148438,0.5368442535400391,0.23201942443847656,1.4592340651096476,1.437251681476365,1.4407361517707893,1.6,2.0,1.514129638671875,1.492767333984375,1.4261016845703125,1.4019775390625,104857.6,131072,99230,97830,93461,91880,0,0
model.layers.20.self_attn.o_proj.weight,attn_o,2048,2048,4194304,0.303844690322876,0.39221858978271484,0.3039367198944092,1.573997768067393,1.5739427727331083,1.5739590350805002,1.6,2.0,1.5808830261230469,1.5808792114257812,1.5847949981689453,1.6047210693359375,838860.8,1048576,828838,828836,830889,841336,0,0
model.layers.20.self_attn.q_proj.weight,attn_q,2048,2048,4194304,0.24898791313171387,0.5024008750915527,0.2486112117767334,1.4975822871636815,1.4924224811910412,1.491778621064947,1.6,2.0,1.504425048828125,1.4993171691894531,1.49163818359375,1.4797744750976562,838860.8,1048576,788752,786074,782048,775828,0,0
