Running as unit: run-rec96ad1670f14d8c9a73f654fecd97cf.scope; invocation ID: fefbc2b3254d47bcb65d6abdc857b014
  [103/168] model.layers.21.self_attn.o_proj.weight: n=4194304 p0=0.4277 H0=1.5572 rans0=1.5641 rans1=1.5640 mism=0
  [104/168] model.layers.21.self_attn.q_proj.weight: n=4194304 p0=0.5065 H0=1.4934 rans0=1.5003 rans1=1.4897 mism=0
  [105/168] model.layers.21.self_attn.v_proj.weight: n=524288 p0=0.4152 H0=1.5639 rans0=1.6187 rans1=1.6190 mism=0
  [106/168] model.layers.22.mlp.down_proj.weight: n=18874368 p0=0.4302 H0=1.5557 rans0=1.5572 rans1=1.5572 mism=0
  [107/168] model.layers.22.mlp.gate_proj.weight: n=18874368 p0=0.4115 H0=1.5657 rans0=1.5673 rans1=1.5672 mism=0
  [108/168] model.layers.22.mlp.up_proj.weight: n=18874368 p0=0.4243 H0=1.5591 rans0=1.5607 rans1=1.5606 mism=0
  [109/168] model.layers.22.self_attn.k_proj.weight: n=524288 p0=0.4092 H0=1.5669 rans0=1.6214 rans1=1.6205 mism=0
  [110/168] model.layers.22.self_attn.o_proj.weight: n=4194304 p0=0.3826 H0=1.5773 rans0=1.5841 rans1=1.5841 mism=0
  [111/168] model.layers.22.self_attn.q_proj.weight: n=4194304 p0=0.4609 H0=1.5347 rans0=1.5416 rans1=1.5399 mism=0
  [112/168] model.layers.22.self_attn.v_proj.weight: n=524288 p0=0.3987 H0=1.5715 rans0=1.6262 rans1=1.6261 mism=0
  [113/168] model.layers.23.mlp.down_proj.weight: n=18874368 p0=0.4363 H0=1.5520 rans0=1.5535 rans1=1.5535 mism=0
  [114/168] model.layers.23.mlp.gate_proj.weight: n=18874368 p0=0.4036 H0=1.5694 rans0=1.5709 rans1=1.5703 mism=0
  [115/168] model.layers.23.mlp.up_proj.weight: n=18874368 p0=0.3942 H0=1.5733 rans0=1.5748 rans1=1.5745 mism=0
  [116/168] model.layers.23.self_attn.k_proj.weight: n=524288 p0=0.5198 H0=1.4791 rans0=1.5338 rans1=1.5297 mism=0
