name,abs_start,abs_end
model.layers.23.input_layernorm.weight,992933,1003173
model.layers.23.mlp.down_proj.weight_scale,1003173,1003177
model.layers.23.mlp.ffn_sub_norm.weight,1003177,1030825
model.layers.23.mlp.gate_proj.weight_scale,1030825,1030829
model.layers.23.mlp.up_proj.weight_scale,1030829,1030833
model.layers.23.post_attention_layernorm.weight,1030833,1041073
model.layers.23.self_attn.attn_sub_norm.weight,1041073,1051313
model.layers.23.self_attn.k_proj.weight_scale,1051313,1051317
model.layers.23.self_attn.o_proj.weight_scale,1051317,1051321
model.layers.23.self_attn.q_proj.weight_scale,1051321,1051325
model.layers.23.self_attn.v_proj.weight_scale,1051325,1051329
model.layers.24.input_layernorm.weight,1051329,1061569
model.layers.24.mlp.down_proj.weight_scale,1061569,1061573
model.layers.24.mlp.ffn_sub_norm.weight,1061573,1089221
model.layers.24.mlp.gate_proj.weight_scale,1089221,1089225
model.layers.24.mlp.up_proj.weight_scale,1089225,1089229
model.layers.24.post_attention_layernorm.weight,1089229,1099469
model.layers.24.self_attn.attn_sub_norm.weight,1099469,1109709
model.layers.24.self_attn.k_proj.weight_scale,1109709,1109713
model.layers.24.self_attn.o_proj.weight_scale,1109713,1109717
model.layers.24.self_attn.q_proj.weight_scale,1109717,1109721
model.layers.24.self_attn.v_proj.weight_scale,1109721,1109725
model.layers.25.input_layernorm.weight,1109725,1119965
model.layers.25.mlp.down_proj.weight_scale,1119965,1119969
model.layers.25.mlp.ffn_sub_norm.weight,1119969,1147617
model.layers.25.mlp.gate_proj.weight_scale,1147617,1147621
model.layers.25.mlp.up_proj.weight_scale,1147621,1147625
model.layers.25.post_attention_layernorm.weight,1147625,1157865
model.layers.25.self_attn.attn_sub_norm.weight,1157865,1168105
model.layers.25.self_attn.k_proj.weight_scale,1168105,1168109
model.layers.25.self_attn.o_proj.weight_scale,1168109,1168113
model.layers.25.self_attn.q_proj.weight_scale,1168113,1168117
model.layers.25.self_attn.v_proj.weight_scale,1168117,1168121
model.layers.26.input_layernorm.weight,1168121,1178361
model.layers.26.mlp.down_proj.weight_scale,1178361,1178365
model.layers.26.mlp.ffn_sub_norm.weight,1178365,1206013
model.layers.26.mlp.gate_proj.weight_scale,1206013,1206017
model.layers.26.mlp.up_proj.weight_scale,1206017,1206021
model.layers.26.post_attention_layernorm.weight,1206021,1216261
model.layers.26.self_attn.attn_sub_norm.weight,1216261,1226501
model.layers.26.self_attn.k_proj.weight_scale,1226501,1226505
model.layers.26.self_attn.o_proj.weight_scale,1226505,1226509
model.layers.26.self_attn.q_proj.weight_scale,1226509,1226513
model.layers.26.self_attn.v_proj.weight_scale,1226513,1226517
model.layers.27.input_layernorm.weight,1226517,1236757
model.layers.27.mlp.down_proj.weight_scale,1236757,1236761
model.layers.27.mlp.ffn_sub_norm.weight,1236761,1264409
model.layers.27.mlp.gate_proj.weight_scale,1264409,1264413
model.layers.27.mlp.up_proj.weight_scale,1264413,1264417
model.layers.27.post_attention_layernorm.weight,1264417,1274657
model.layers.27.self_attn.attn_sub_norm.weight,1274657,1284897
model.layers.27.self_attn.k_proj.weight_scale,1284897,1284901
model.layers.27.self_attn.o_proj.weight_scale,1284901,1284905
model.layers.27.self_attn.q_proj.weight_scale,1284905,1284909
model.layers.27.self_attn.v_proj.weight_scale,1284909,1284913
model.layers.28.input_layernorm.weight,1284913,1295153
model.layers.28.mlp.down_proj.weight_scale,1295153,1295157
model.layers.28.mlp.ffn_sub_norm.weight,1295157,1322805
model.layers.28.mlp.gate_proj.weight_scale,1322805,1322809
model.layers.28.mlp.up_proj.weight_scale,1322809,1322813
model.layers.28.post_attention_layernorm.weight,1322813,1333053
model.layers.28.self_attn.attn_sub_norm.weight,1333053,1343293
model.layers.28.self_attn.k_proj.weight_scale,1343293,1343297
model.layers.28.self_attn.o_proj.weight_scale,1343297,1343301
model.layers.28.self_attn.q_proj.weight_scale,1343301,1343305
model.layers.28.self_attn.v_proj.weight_scale,1343305,1343309
model.layers.29.input_layernorm.weight,1343309,1353549
model.layers.29.mlp.down_proj.weight_scale,1353549,1353553
