[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step   880/122071 | loss 3.0945 | lr 4.40e-04 | wd 0.100 | gnorm 1.75 | 1690.5s
step   890/122071 | loss 3.0119 | lr 4.45e-04 | wd 0.100 | gnorm 1.78 | 1709.2s
step   900/122071 | loss 3.0087 | lr 4.50e-04 | wd 0.100 | gnorm 1.97 | 1727.9s
step   910/122071 | loss 3.1124 | lr 4.55e-04 | wd 0.100 | gnorm 2.18 | 1746.7s
step   920/122071 | loss 3.2162 | lr 4.60e-04 | wd 0.100 | gnorm 1.74 | 1766.2s
step   930/122071 | loss 3.0879 | lr 4.65e-04 | wd 0.100 | gnorm 1.92 | 1785.7s
step   940/122071 | loss 3.0748 | lr 4.70e-04 | wd 0.100 | gnorm 1.92 | 1804.6s
step   950/122071 | loss 2.9746 | lr 4.75e-04 | wd 0.100 | gnorm 1.94 | 1823.4s
step   960/122071 | loss 3.1688 | lr 4.80e-04 | wd 0.100 | gnorm 1.97 | 1842.2s
step   970/122071 | loss 3.0543 | lr 4.85e-04 | wd 0.100 | gnorm 1.76 | 1860.7s
step   980/122071 | loss 3.1238 | lr 4.90e-04 | wd 0.100 | gnorm 2.02 | 1879.3s
step   990/122071 | loss 2.9506 | lr 4.95e-04 | wd 0.100 | gnorm 1.53 | 1898.2s
  [val] step 1000 | val_ppl 30.104 (prev 73.298)
step  1000/122071 | loss 3.2237 | lr 5.00e-04 | wd 0.100 | gnorm 2.23 | 1916.7s
step  1010/122071 | loss 2.8283 | lr 5.05e-04 | wd 0.100 | gnorm 1.66 | 1935.4s
step  1020/122071 | loss 2.9679 | lr 5.10e-04 | wd 0.100 | gnorm 1.93 | 1954.8s
step  1030/122071 | loss 2.9081 | lr 5.15e-04 | wd 0.100 | gnorm 1.66 | 1974.2s
step  1040/122071 | loss 2.8320 | lr 5.20e-04 | wd 0.100 | gnorm 2.05 | 1993.0s
step  1050/122071 | loss 3.0856 | lr 5.25e-04 | wd 0.100 | gnorm 1.46 | 2011.7s
step  1060/122071 | loss 2.9560 | lr 5.30e-04 | wd 0.100 | gnorm 1.84 | 2030.4s
step  1070/122071 | loss 2.9211 | lr 5.35e-04 | wd 0.100 | gnorm 1.88 | 2049.0s
step  1080/122071 | loss 2.8375 | lr 5.40e-04 | wd 0.100 | gnorm 1.64 | 2068.0s
step  1090/122071 | loss 3.0903 | lr 5.45e-04 | wd 0.100 | gnorm 1.69 | 2086.8s
step  1100/122071 | loss 2.9666 | lr 5.50e-04 | wd 0.100 | gnorm 1.80 | 2105.8s
step  1110/122071 | loss 2.8111 | lr 5.55e-04 | wd 0.100 | gnorm 1.55 | 2125.0s
step  1120/122071 | loss 2.9888 | lr 5.60e-04 | wd 0.100 | gnorm 1.64 | 2143.9s
step  1130/122071 | loss 3.0013 | lr 5.65e-04 | wd 0.100 | gnorm 1.75 | 2162.7s
step  1140/122071 | loss 2.8661 | lr 5.70e-04 | wd 0.100 | gnorm 1.79 | 2182.0s
step  1150/122071 | loss 2.9685 | lr 5.75e-04 | wd 0.100 | gnorm 1.53 | 2200.9s
step  1160/122071 | loss 2.8201 | lr 5.80e-04 | wd 0.100 | gnorm 1.58 | 2221.6s
step  1170/122071 | loss 2.7961 | lr 5.85e-04 | wd 0.100 | gnorm 1.57 | 2242.1s
