[cooldown] source      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin.pt
[cooldown] source step : 122071
[cooldown] params      : 6529920 (6.530M) linear=fp
[cooldown] arch        : layers=6 hidden=256 inter=704 heads=4 kv=2 vocab=8192
[cooldown] val_hist    : 244 entries, last 5.5130
[cooldown] PLAN        : 4000 steps, lr 1.000e-04 -> 0 (cosine), wd 0.0 (was 0.1), B=8 T=512 threads=4
[cooldown] extra tokens: 16,384,000 (CONSERVATIVE: favours the twin)
[cooldown] output      : /home/killboxincorporated/model-lab/tinybit/checkpoints/m7a_twin_cooled.pt
[cooldown] first LRs   : 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04, 1.0000e-04
[cooldown] final LR    : 1.5421e-11
[cooldown] copied source -> output (original untouched)
[cooldown] optimizer moments restored from checkpoint
[cooldown] RNG state restored
[cooldown] BASELINE val_ppl (before any cooldown step): 5.5558
cool   830/4000 | loss 1.6304 | lr 8.975e-05 | wd 0.000 | gnorm 2.31 | 2143.3s
cool   840/4000 | loss 1.4494 | lr 8.951e-05 | wd 0.000 | gnorm 2.13 | 2165.6s
cool   850/4000 | loss 1.4167 | lr 8.927e-05 | wd 0.000 | gnorm 2.04 | 2187.4s
cool   860/4000 | loss 1.6016 | lr 8.902e-05 | wd 0.000 | gnorm 2.24 | 2210.3s
cool   870/4000 | loss 1.4594 | lr 8.877e-05 | wd 0.000 | gnorm 2.10 | 2233.7s
cool   880/4000 | loss 1.6511 | lr 8.853e-05 | wd 0.000 | gnorm 2.30 | 2257.9s
cool   890/4000 | loss 1.5537 | lr 8.827e-05 | wd 0.000 | gnorm 2.49 | 2280.6s
cool   900/4000 | loss 1.3905 | lr 8.802e-05 | wd 0.000 | gnorm 2.11 | 2304.1s
cool   910/4000 | loss 1.4300 | lr 8.776e-05 | wd 0.000 | gnorm 2.12 | 2326.9s
cool   920/4000 | loss 1.4198 | lr 8.751e-05 | wd 0.000 | gnorm 1.99 | 2350.1s
cool   930/4000 | loss 1.4803 | lr 8.724e-05 | wd 0.000 | gnorm 2.15 | 2373.6s
cool   940/4000 | loss 1.4239 | lr 8.698e-05 | wd 0.000 | gnorm 2.09 | 2396.8s
cool   950/4000 | loss 1.3469 | lr 8.672e-05 | wd 0.000 | gnorm 2.11 | 2419.4s
cool   960/4000 | loss 1.5161 | lr 8.645e-05 | wd 0.000 | gnorm 2.23 | 2443.5s
cool   970/4000 | loss 1.5100 | lr 8.618e-05 | wd 0.000 | gnorm 2.17 | 2465.2s
cool   980/4000 | loss 1.6003 | lr 8.591e-05 | wd 0.000 | gnorm 2.14 | 2490.3s
cool   990/4000 | loss 1.5072 | lr 8.563e-05 | wd 0.000 | gnorm 2.21 | 2513.7s
  [val] cool 1000 | val_ppl 5.4581 | baseline 5.5558 | delta -0.0977
cool  1000/4000 | loss 1.4765 | lr 8.536e-05 | wd 0.000 | gnorm 2.18 | 2536.9s
cool  1010/4000 | loss 1.5134 | lr 8.508e-05 | wd 0.000 | gnorm 2.13 | 2560.1s
cool  1020/4000 | loss 1.5047 | lr 8.480e-05 | wd 0.000 | gnorm 2.15 | 2584.0s
cool  1030/4000 | loss 1.4204 | lr 8.451e-05 | wd 0.000 | gnorm 2.07 | 2608.1s
cool  1040/4000 | loss 1.3520 | lr 8.423e-05 | wd 0.000 | gnorm 2.06 | 2632.8s
cool  1050/4000 | loss 1.6382 | lr 8.394e-05 | wd 0.000 | gnorm 2.35 | 2655.9s
cool  1060/4000 | loss 1.4896 | lr 8.365e-05 | wd 0.000 | gnorm 2.10 | 2679.3s
cool  1070/4000 | loss 1.3937 | lr 8.336e-05 | wd 0.000 | gnorm 2.23 | 2703.4s
cool  1080/4000 | loss 1.5361 | lr 8.307e-05 | wd 0.000 | gnorm 2.31 | 2726.6s
cool  1090/4000 | loss 1.4556 | lr 8.277e-05 | wd 0.000 | gnorm 1.96 | 2750.8s
cool  1100/4000 | loss 1.3725 | lr 8.247e-05 | wd 0.000 | gnorm 2.17 | 2775.3s
cool  1110/4000 | loss 1.5171 | lr 8.217e-05 | wd 0.000 | gnorm 2.32 | 2800.1s
cool  1120/4000 | loss 1.5319 | lr 8.187e-05 | wd 0.000 | gnorm 2.41 | 2823.7s
cool  1130/4000 | loss 1.4897 | lr 8.157e-05 | wd 0.000 | gnorm 2.10 | 2848.8s
cool  1140/4000 | loss 1.4451 | lr 8.126e-05 | wd 0.000 | gnorm 2.05 | 2873.6s
cool  1150/4000 | loss 1.2337 | lr 8.095e-05 | wd 0.000 | gnorm 2.04 | 2897.2s
cool  1160/4000 | loss 1.3878 | lr 8.065e-05 | wd 0.000 | gnorm 2.10 | 2920.3s
cool  1170/4000 | loss 1.3845 | lr 8.033e-05 | wd 0.000 | gnorm 2.14 | 2943.3s
cool  1180/4000 | loss 1.4549 | lr 8.002e-05 | wd 0.000 | gnorm 2.37 | 2968.1s
cool  1190/4000 | loss 1.3475 | lr 7.971e-05 | wd 0.000 | gnorm 2.08 | 2992.2s
cool  1200/4000 | loss 1.3287 | lr 7.939e-05 | wd 0.000 | gnorm 2.00 | 3014.8s
cool  1210/4000 | loss 1.3469 | lr 7.907e-05 | wd 0.000 | gnorm 2.02 | 3037.0s
cool  1220/4000 | loss 1.4023 | lr 7.875e-05 | wd 0.000 | gnorm 2.17 | 3060.3s
cool  1230/4000 | loss 1.3325 | lr 7.843e-05 | wd 0.000 | gnorm 2.02 | 3083.6s
cool  1240/4000 | loss 1.5205 | lr 7.810e-05 | wd 0.000 | gnorm 2.21 | 3107.4s
  [val] cool 1250 | val_ppl 5.4334 | baseline 5.5558 | delta -0.1224
