[train] model params: 14171392 (14.17M) | linear=bitlinear | sched=two_stage | B=8 T=512 threads=4
step  1290/122071 | loss 2.5919 | lr 1.29e-03 | wd 0.100 | gnorm 0.95 | 5202.6s
step  1300/122071 | loss 2.6055 | lr 1.30e-03 | wd 0.100 | gnorm 0.86 | 5242.2s
step  1310/122071 | loss 2.5602 | lr 1.31e-03 | wd 0.100 | gnorm 0.92 | 5286.5s
step  1320/122071 | loss 2.6161 | lr 1.32e-03 | wd 0.100 | gnorm 0.89 | 5326.7s
step  1330/122071 | loss 2.5753 | lr 1.33e-03 | wd 0.100 | gnorm 0.91 | 5368.0s
step  1340/122071 | loss 2.8557 | lr 1.34e-03 | wd 0.100 | gnorm 1.03 | 5408.4s
step  1350/122071 | loss 2.7108 | lr 1.35e-03 | wd 0.100 | gnorm 0.97 | 5448.6s
step  1360/122071 | loss 2.7883 | lr 1.36e-03 | wd 0.100 | gnorm 0.98 | 5489.9s
step  1370/122071 | loss 2.8067 | lr 1.37e-03 | wd 0.100 | gnorm 0.94 | 5530.6s
step  1380/122071 | loss 2.3972 | lr 1.38e-03 | wd 0.100 | gnorm 0.95 | 5571.1s
step  1390/122071 | loss 2.5394 | lr 1.39e-03 | wd 0.100 | gnorm 0.88 | 5611.5s
step  1400/122071 | loss 2.5107 | lr 1.40e-03 | wd 0.100 | gnorm 0.90 | 5651.3s
step  1410/122071 | loss 2.5358 | lr 1.41e-03 | wd 0.100 | gnorm 0.84 | 5691.0s
step  1420/122071 | loss 2.9979 | lr 1.42e-03 | wd 0.100 | gnorm 0.95 | 5730.8s
step  1430/122071 | loss 2.6315 | lr 1.43e-03 | wd 0.100 | gnorm 0.87 | 5770.7s
step  1440/122071 | loss 2.5660 | lr 1.44e-03 | wd 0.100 | gnorm 0.86 | 5810.9s
step  1450/122071 | loss 2.7372 | lr 1.45e-03 | wd 0.100 | gnorm 0.93 | 5850.9s
step  1460/122071 | loss 2.5043 | lr 1.46e-03 | wd 0.100 | gnorm 0.81 | 5891.0s
step  1470/122071 | loss 2.5510 | lr 1.47e-03 | wd 0.100 | gnorm 0.83 | 5932.3s
step  1480/122071 | loss 2.5413 | lr 1.48e-03 | wd 0.100 | gnorm 0.86 | 5973.1s
step  1490/122071 | loss 2.6135 | lr 1.49e-03 | wd 0.100 | gnorm 0.95 | 6014.4s
  [val] step 1500 | val_ppl 18.457 (prev 25.345)
step  1500/122071 | loss 2.4963 | lr 1.50e-03 | wd 0.100 | gnorm 0.82 | 6055.7s
step  1510/122071 | loss 2.5657 | lr 1.51e-03 | wd 0.100 | gnorm 0.85 | 6095.5s
step  1520/122071 | loss 2.4877 | lr 1.52e-03 | wd 0.100 | gnorm 0.84 | 6135.4s
step  1530/122071 | loss 2.7482 | lr 1.53e-03 | wd 0.100 | gnorm 0.81 | 6175.4s
step  1540/122071 | loss 2.7971 | lr 1.54e-03 | wd 0.100 | gnorm 0.88 | 6215.3s
step  1550/122071 | loss 2.4993 | lr 1.55e-03 | wd 0.100 | gnorm 0.84 | 6255.7s
step  1560/122071 | loss 2.4470 | lr 1.56e-03 | wd 0.100 | gnorm 0.78 | 6295.6s
step  1570/122071 | loss 2.3817 | lr 1.57e-03 | wd 0.100 | gnorm 0.81 | 6335.5s
step  1580/122071 | loss 2.5739 | lr 1.58e-03 | wd 0.100 | gnorm 0.87 | 6375.7s
step  1590/122071 | loss 2.4950 | lr 1.59e-03 | wd 0.100 | gnorm 0.81 | 6415.8s
step  1600/122071 | loss 2.4421 | lr 1.60e-03 | wd 0.100 | gnorm 0.81 | 6464.8s
step  1610/122071 | loss 2.4925 | lr 1.61e-03 | wd 0.100 | gnorm 0.77 | 6506.3s
step  1620/122071 | loss 2.5218 | lr 1.62e-03 | wd 0.100 | gnorm 0.80 | 6547.0s
step  1630/122071 | loss 2.7245 | lr 1.63e-03 | wd 0.100 | gnorm 0.98 | 6587.8s
step  1640/122071 | loss 2.5303 | lr 1.64e-03 | wd 0.100 | gnorm 0.82 | 6632.6s
step  1650/122071 | loss 2.6703 | lr 1.65e-03 | wd 0.100 | gnorm 0.88 | 6673.1s
step  1660/122071 | loss 2.6045 | lr 1.66e-03 | wd 0.100 | gnorm 0.87 | 6714.2s
step  1670/122071 | loss 2.4363 | lr 1.67e-03 | wd 0.100 | gnorm 0.79 | 6754.1s
step  1680/122071 | loss 2.5432 | lr 1.68e-03 | wd 0.100 | gnorm 0.79 | 6794.2s
step  1690/122071 | loss 2.4255 | lr 1.69e-03 | wd 0.100 | gnorm 0.78 | 6834.3s
step  1700/122071 | loss 2.5125 | lr 1.70e-03 | wd 0.100 | gnorm 0.83 | 6874.1s
step  1710/122071 | loss 2.6554 | lr 1.71e-03 | wd 0.100 | gnorm 0.74 | 6914.0s
step  1720/122071 | loss 2.4739 | lr 1.72e-03 | wd 0.100 | gnorm 0.76 | 6954.5s
step  1730/122071 | loss 2.4095 | lr 1.73e-03 | wd 0.100 | gnorm 0.72 | 6994.5s
step  1740/122071 | loss 2.3362 | lr 1.74e-03 | wd 0.100 | gnorm 0.79 | 7034.4s
step  1750/122071 | loss 2.5833 | lr 1.75e-03 | wd 0.100 | gnorm 0.74 | 7074.5s
step  1760/122071 | loss 2.4112 | lr 1.76e-03 | wd 0.100 | gnorm 0.70 | 7114.7s
step  1770/122071 | loss 2.3057 | lr 1.77e-03 | wd 0.100 | gnorm 0.76 | 7155.2s
step  1780/122071 | loss 2.4945 | lr 1.78e-03 | wd 0.100 | gnorm 0.75 | 7196.5s
step  1790/122071 | loss 2.4455 | lr 1.79e-03 | wd 0.100 | gnorm 0.81 | 7236.9s
step  1800/122071 | loss 2.4240 | lr 1.80e-03 | wd 0.100 | gnorm 0.79 | 7277.8s
step  1810/122071 | loss 2.5742 | lr 1.81e-03 | wd 0.100 | gnorm 0.82 | 7317.7s
step  1820/122071 | loss 2.4548 | lr 1.82e-03 | wd 0.100 | gnorm 0.73 | 7357.9s
step  1830/122071 | loss 2.1634 | lr 1.83e-03 | wd 0.100 | gnorm 0.72 | 7398.0s
step  1840/122071 | loss 2.4120 | lr 1.84e-03 | wd 0.100 | gnorm 0.76 | 7438.0s
step  1850/122071 | loss 2.3023 | lr 1.85e-03 | wd 0.100 | gnorm 0.73 | 7478.2s
step  1860/122071 | loss 2.6889 | lr 1.86e-03 | wd 0.100 | gnorm 0.75 | 7519.6s
step  1870/122071 | loss 2.3917 | lr 1.87e-03 | wd 0.100 | gnorm 0.75 | 7560.9s
step  1880/122071 | loss 2.5091 | lr 1.88e-03 | wd 0.100 | gnorm 0.78 | 7601.8s
step  1890/122071 | loss 2.4476 | lr 1.89e-03 | wd 0.100 | gnorm 0.69 | 7641.4s
step  1900/122071 | loss 2.3023 | lr 1.90e-03 | wd 0.100 | gnorm 0.71 | 7681.1s
step  1910/122071 | loss 2.4212 | lr 1.91e-03 | wd 0.100 | gnorm 0.81 | 7722.7s
step  1920/122071 | loss 2.5586 | lr 1.92e-03 | wd 0.100 | gnorm 0.77 | 7763.2s
step  1930/122071 | loss 2.4140 | lr 1.93e-03 | wd 0.100 | gnorm 0.72 | 7803.5s
step  1940/122071 | loss 2.4802 | lr 1.94e-03 | wd 0.100 | gnorm 0.76 | 7843.6s
step  1950/122071 | loss 2.3629 | lr 1.95e-03 | wd 0.100 | gnorm 0.69 | 7883.5s
step  1960/122071 | loss 2.4142 | lr 1.96e-03 | wd 0.100 | gnorm 0.71 | 7923.6s
step  1970/122071 | loss 2.4424 | lr 1.97e-03 | wd 0.100 | gnorm 0.74 | 7963.6s
step  1980/122071 | loss 2.5082 | lr 1.98e-03 | wd 0.100 | gnorm 0.75 | 8003.8s
step  1990/122071 | loss 2.4734 | lr 1.99e-03 | wd 0.100 | gnorm 0.73 | 8043.6s
  [val] step 2000 | val_ppl 17.298 (prev 18.457)
step  2000/122071 | loss 2.1818 | lr 2.00e-03 | wd 0.100 | gnorm 0.67 | 8085.7s
step  2010/122071 | loss 2.4603 | lr 2.00e-03 | wd 0.100 | gnorm 0.70 | 8125.8s
step  2020/122071 | loss 2.3514 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 8165.9s
step  2030/122071 | loss 2.3901 | lr 2.00e-03 | wd 0.100 | gnorm 0.71 | 8206.1s
step  2040/122071 | loss 2.4310 | lr 2.00e-03 | wd 0.100 | gnorm 0.69 | 8246.2s
step  2050/122071 | loss 2.2159 | lr 2.00e-03 | wd 0.100 | gnorm 0.66 | 8285.7s
