=== M7a twin smoke test — 2026-07-18 ===
host: Crostini VM i5-10210U 4C/8T AVX2, 6.4GB RAM; aegis-ppl-rerun ACTIVE (~1GB RSS) throughout
config: configs/m7a_twin.json overrides: --steps 200 --warmup 20 --eval-every 100 --save-every 100 --log-every 1 --threads 4
env: OMP_NUM_THREADS=4 MKL_NUM_THREADS=4
plan: run to ~step 105-115, SIGKILL (crash sim) after step-100 ckpt saved, then --resume to 200

--- RUN 1 (fresh, target kill after step-100 checkpoint) ---
[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=4
step   193/200 | loss 4.4727 | lr 1.03e-04 | wd 0.100 | gnorm 1.08 | 319.2s
step   194/200 | loss 4.2869 | lr 1.02e-04 | wd 0.100 | gnorm 1.02 | 324.1s
step   195/200 | loss 4.3038 | lr 1.02e-04 | wd 0.100 | gnorm 1.01 | 329.1s
step   196/200 | loss 4.1621 | lr 1.01e-04 | wd 0.100 | gnorm 0.91 | 334.1s
step   197/200 | loss 4.2127 | lr 1.01e-04 | wd 0.100 | gnorm 0.98 | 339.2s
step   198/200 | loss 4.2014 | lr 1.00e-04 | wd 0.100 | gnorm 0.90 | 343.9s
step   199/200 | loss 4.3099 | lr 1.00e-04 | wd 0.100 | gnorm 1.14 | 348.8s
  [val] step 200 | val_ppl 114.810 (prev 192.215)
[train] done

--- 8-THREAD BURST (~2 min, throughput measurement only; fresh model, no eval/ckpt cadence) ---
env: OMP_NUM_THREADS=8 MKL_NUM_THREADS=8, --threads 8, 55 steps
[train] model params: 6529920 (6.53M) | linear=fp | sched=cosine | B=8 T=512 threads=8
step     0/55 | loss 9.0418 | lr 0.00e+00 | wd 0.100 | gnorm 5.12 | 8.8s
step     1/55 | loss 9.0566 | lr 1.00e-04 | wd 0.100 | gnorm 4.76 | 16.9s
step     2/55 | loss 8.8867 | lr 2.00e-04 | wd 0.100 | gnorm 4.50 | 22.3s
step     3/55 | loss 8.6738 | lr 3.00e-04 | wd 0.100 | gnorm 3.34 | 29.4s
step     4/55 | loss 8.5096 | lr 4.00e-04 | wd 0.100 | gnorm 2.33 | 37.1s
step     5/55 | loss 8.3396 | lr 5.00e-04 | wd 0.100 | gnorm 2.08 | 43.2s
step     6/55 | loss 8.2166 | lr 6.00e-04 | wd 0.100 | gnorm 1.95 | 50.5s
step     7/55 | loss 8.0686 | lr 7.00e-04 | wd 0.100 | gnorm 1.95 | 58.8s
step     8/55 | loss 7.8990 | lr 8.00e-04 | wd 0.100 | gnorm 1.93 | 66.8s
step     9/55 | loss 7.6817 | lr 9.00e-04 | wd 0.100 | gnorm 1.90 | 73.2s
step    10/55 | loss 7.4691 | lr 1.00e-03 | wd 0.100 | gnorm 1.85 | 81.9s
step    11/55 | loss 7.2415 | lr 9.99e-04 | wd 0.100 | gnorm 1.84 | 88.9s
step    12/55 | loss 7.0359 | lr 9.96e-04 | wd 0.100 | gnorm 1.66 | 96.4s
step    13/55 | loss 6.7738 | lr 9.90e-04 | wd 0.100 | gnorm 1.66 | 104.3s
step    14/55 | loss 6.5427 | lr 9.83e-04 | wd 0.100 | gnorm 1.59 | 112.9s
step    15/55 | loss 6.4047 | lr 9.73e-04 | wd 0.100 | gnorm 1.48 | 122.9s
step    16/55 | loss 6.2801 | lr 9.61e-04 | wd 0.100 | gnorm 1.37 | 133.1s
step    17/55 | loss 6.1353 | lr 9.47e-04 | wd 0.100 | gnorm 1.22 | 139.9s
step    18/55 | loss 6.0549 | lr 9.32e-04 | wd 0.100 | gnorm 1.05 | 146.3s
step    19/55 | loss 6.0547 | lr 9.14e-04 | wd 0.100 | gnorm 0.88 | 152.4s
step    20/55 | loss 5.9657 | lr 8.95e-04 | wd 0.100 | gnorm 0.74 | 159.3s
step    21/55 | loss 5.9496 | lr 8.74e-04 | wd 0.100 | gnorm 0.70 | 165.0s
step    22/55 | loss 5.9144 | lr 8.51e-04 | wd 0.100 | gnorm 0.47 | 172.6s
