==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 610000/1254250 chars | chunk: 1229 tok (4.1 c/t) PPL 19.883 | overall: 153917 tok PPL 15.348
Progress: 615000/1254250 chars | chunk: 1243 tok (4.0 c/t) PPL 17.594 | overall: 155159 tok PPL 15.365
Progress: 620000/1254250 chars | chunk: 1172 tok (4.3 c/t) PPL 21.195 | overall: 156330 tok PPL 15.402
Progress: 625000/1254250 chars | chunk: 1191 tok (4.2 c/t) PPL 21.577 | overall: 157520 tok PPL 15.441
Progress: 630000/1254250 chars | chunk: 1240 tok (4.0 c/t) PPL 20.856 | overall: 158759 tok PPL 15.477
Progress: 635000/1254250 chars | chunk: 1223 tok (4.1 c/t) PPL 14.402 | overall: 159981 tok PPL 15.469
Progress: 640000/1254250 chars | chunk: 1245 tok (4.0 c/t) PPL 14.237 | overall: 161225 tok PPL 15.459
Progress: 645000/1254250 chars | chunk: 1147 tok (4.4 c/t) PPL 19.017 | overall: 162371 tok PPL 15.482
Progress: 650000/1254250 chars | chunk: 1169 tok (4.3 c/t) PPL 18.634 | overall: 163539 tok PPL 15.502
Progress: 655000/1254250 chars | chunk: 1166 tok (4.3 c/t) PPL 14.584 | overall: 164704 tok PPL 15.495
Progress: 660000/1254250 chars | chunk: 1121 tok (4.5 c/t) PPL 17.834 | overall: 165824 tok PPL 15.510
Progress: 665000/1254250 chars | chunk: 1176 tok (4.3 c/t) PPL 15.433 | overall: 166999 tok PPL 15.510
Progress: 670000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 13.675 | overall: 168259 tok PPL 15.495
Progress: 675000/1254250 chars | chunk: 1175 tok (4.3 c/t) PPL 17.926 | overall: 169433 tok PPL 15.511
Progress: 680000/1254250 chars | chunk: 1191 tok (4.2 c/t) PPL 19.544 | overall: 170623 tok PPL 15.536
Progress: 685000/1254250 chars | chunk: 1180 tok (4.2 c/t) PPL 16.291 | overall: 171802 tok PPL 15.541
Progress: 690000/1254250 chars | chunk: 1141 tok (4.4 c/t) PPL 22.492 | overall: 172942 tok PPL 15.579
Progress: 695000/1254250 chars | chunk: 1262 tok (4.0 c/t) PPL 15.303 | overall: 174203 tok PPL 15.577
Progress: 700000/1254250 chars | chunk: 1380 tok (3.6 c/t) PPL 10.140 | overall: 175582 tok PPL 15.524
Progress: 705000/1254250 chars | chunk: 1389 tok (3.6 c/t) PPL 9.464 | overall: 176970 tok PPL 15.464
Progress: 710000/1254250 chars | chunk: 1397 tok (3.6 c/t) PPL 11.468 | overall: 178366 tok PPL 15.428
Progress: 715000/1254250 chars | chunk: 1388 tok (3.6 c/t) PPL 11.757 | overall: 179753 tok PPL 15.396
Progress: 720000/1254250 chars | chunk: 1340 tok (3.7 c/t) PPL 12.342 | overall: 181092 tok PPL 15.370
Progress: 725000/1254250 chars | chunk: 1243 tok (4.0 c/t) PPL 12.404 | overall: 182334 tok PPL 15.348
Progress: 730000/1254250 chars | chunk: 1208 tok (4.1 c/t) PPL 15.800 | overall: 183541 tok PPL 15.351
Progress: 735000/1254250 chars | chunk: 1226 tok (4.1 c/t) PPL 14.533 | overall: 184766 tok PPL 15.345
Progress: 740000/1254250 chars | chunk: 1323 tok (3.8 c/t) PPL 14.091 | overall: 186088 tok PPL 15.336
Progress: 745000/1254250 chars | chunk: 1231 tok (4.1 c/t) PPL 15.602 | overall: 187318 tok PPL 15.338
Progress: 750000/1254250 chars | chunk: 1198 tok (4.2 c/t) PPL 16.258 | overall: 188515 tok PPL 15.344
Progress: 755000/1254250 chars | chunk: 1140 tok (4.4 c/t) PPL 20.694 | overall: 189654 tok PPL 15.371
Progress: 760000/1254250 chars | chunk: 1247 tok (4.0 c/t) PPL 19.158 | overall: 190900 tok PPL 15.393
Progress: 765000/1254250 chars | chunk: 1143 tok (4.4 c/t) PPL 20.991 | overall: 192042 tok PPL 15.422
Progress: 770000/1254250 chars | chunk: 1159 tok (4.3 c/t) PPL 22.010 | overall: 193200 tok PPL 15.455
Progress: 775000/1254250 chars | chunk: 1209 tok (4.1 c/t) PPL 20.189 | overall: 194408 tok PPL 15.480
Progress: 780000/1254250 chars | chunk: 1193 tok (4.2 c/t) PPL 26.024 | overall: 195600 tok PPL 15.529
Progress: 785000/1254250 chars | chunk: 1217 tok (4.1 c/t) PPL 26.219 | overall: 196816 tok PPL 15.580
Progress: 790000/1254250 chars | chunk: 1221 tok (4.1 c/t) PPL 25.134 | overall: 198036 tok PPL 15.626
Progress: 795000/1254250 chars | chunk: 1173 tok (4.3 c/t) PPL 28.947 | overall: 199208 tok PPL 15.682
Progress: 800000/1254250 chars | chunk: 1154 tok (4.3 c/t) PPL 24.794 | overall: 200361 tok PPL 15.724
Progress: 805000/1254250 chars | chunk: 1271 tok (3.9 c/t) PPL 20.543 | overall: 201631 tok PPL 15.750
Progress: 810000/1254250 chars | chunk: 1215 tok (4.1 c/t) PPL 23.996 | overall: 202845 tok PPL 15.790
Progress: 815000/1254250 chars | chunk: 1200 tok (4.2 c/t) PPL 22.106 | overall: 204044 tok PPL 15.821
Progress: 820000/1254250 chars | chunk: 1149 tok (4.4 c/t) PPL 23.255 | overall: 205192 tok PPL 15.855
Progress: 825000/1254250 chars | chunk: 1155 tok (4.3 c/t) PPL 23.191 | overall: 206346 tok PPL 15.889
Progress: 830000/1254250 chars | chunk: 1233 tok (4.1 c/t) PPL 14.022 | overall: 207578 tok PPL 15.877
Progress: 835000/1254250 chars | chunk: 1211 tok (4.1 c/t) PPL 26.558 | overall: 208788 tok PPL 15.925
Progress: 840000/1254250 chars | chunk: 1121 tok (4.5 c/t) PPL 20.380 | overall: 209908 tok PPL 15.946
Progress: 845000/1254250 chars | chunk: 1173 tok (4.3 c/t) PPL 19.528 | overall: 211080 tok PPL 15.964
Progress: 850000/1254250 chars | chunk: 1117 tok (4.5 c/t) PPL 17.094 | overall: 212196 tok PPL 15.969
Progress: 855000/1254250 chars | chunk: 1071 tok (4.7 c/t) PPL 21.108 | overall: 213266 tok PPL 15.992
Progress: 860000/1254250 chars | chunk: 1151 tok (4.3 c/t) PPL 19.759 | overall: 214416 tok PPL 16.010
Progress: 865000/1254250 chars | chunk: 1254 tok (4.0 c/t) PPL 16.320 | overall: 215669 tok PPL 16.012
Progress: 870000/1254250 chars | chunk: 1419 tok (3.5 c/t) PPL 11.708 | overall: 217087 tok PPL 15.979
Progress: 875000/1254250 chars | chunk: 1321 tok (3.8 c/t) PPL 14.455 | overall: 218407 tok PPL 15.969
Progress: 880000/1254250 chars | chunk: 1277 tok (3.9 c/t) PPL 16.362 | overall: 219683 tok PPL 15.972
Progress: 885000/1254250 chars | chunk: 1255 tok (4.0 c/t) PPL 15.470 | overall: 220937 tok PPL 15.969
Progress: 890000/1254250 chars | chunk: 1277 tok (3.9 c/t) PPL 14.595 | overall: 222213 tok PPL 15.961
Progress: 895000/1254250 chars | chunk: 1291 tok (3.9 c/t) PPL 16.057 | overall: 223503 tok PPL 15.961
Progress: 900000/1254250 chars | chunk: 1279 tok (3.9 c/t) PPL 15.340 | overall: 224781 tok PPL 15.957
Progress: 905000/1254250 chars | chunk: 1339 tok (3.7 c/t) PPL 14.221 | overall: 226119 tok PPL 15.947
Progress: 910000/1254250 chars | chunk: 1339 tok (3.7 c/t) PPL 18.273 | overall: 227457 tok PPL 15.959
Progress: 915000/1254250 chars | chunk: 1233 tok (4.1 c/t) PPL 14.135 | overall: 228689 tok PPL 15.949
Progress: 920000/1254250 chars | chunk: 1231 tok (4.1 c/t) PPL 21.016 | overall: 229919 tok PPL 15.972
Progress: 925000/1254250 chars | chunk: 1213 tok (4.1 c/t) PPL 17.170 | overall: 231131 tok PPL 15.979
