=== WikiText-2 FULL test-set PPL — post-tokenizer-fix re-run (ATTEMPT 2) ===
date: 2026-07-18T01:13:34Z
binary: aegis-eval/target/release/aegis-eval (built 2026-07-16 22:57, commit 5989c32)
cmd: aegis-eval aegis_pruned_model.safetensors aegis-forge/embed.bin aegis-forge/vocab.bin test.txt (flagless = chunked full-text)
attempt 1 died at session-close 2026-07-16 23:47 (2% done; log: *_attempt1_DIED_session-close.log); this attempt runs under systemd-run --user + linger
prior full-set anchor: 15.825 (old tokenizer); sample anchors: old 10.348 / new 10.758
---
==================================================
 A.L.I.C.E. Perplexity Evaluator (measured)
==================================================
Engine online. SIMD level: AVX2+FMA
Dataset: test.txt | total chars: 1254250
Progress: 360000/1254250 chars | chunk: 1148 tok (4.4 c/t) PPL 28.471 | overall: 90264 tok PPL 15.663
Progress: 365000/1254250 chars | chunk: 1229 tok (4.1 c/t) PPL 30.136 | overall: 91492 tok PPL 15.801
Progress: 370000/1254250 chars | chunk: 1238 tok (4.0 c/t) PPL 27.696 | overall: 92729 tok PPL 15.920
Progress: 375000/1254250 chars | chunk: 1177 tok (4.2 c/t) PPL 23.549 | overall: 93905 tok PPL 15.998
Progress: 380000/1254250 chars | chunk: 1297 tok (3.9 c/t) PPL 20.096 | overall: 95201 tok PPL 16.048
Progress: 385000/1254250 chars | chunk: 1264 tok (4.0 c/t) PPL 20.598 | overall: 96464 tok PPL 16.100
Progress: 390000/1254250 chars | chunk: 1205 tok (4.1 c/t) PPL 20.575 | overall: 97668 tok PPL 16.149
Progress: 395000/1254250 chars | chunk: 1212 tok (4.1 c/t) PPL 21.492 | overall: 98879 tok PPL 16.206
Progress: 400000/1254250 chars | chunk: 1108 tok (4.5 c/t) PPL 24.222 | overall: 99986 tok PPL 16.278
Progress: 405000/1254250 chars | chunk: 1186 tok (4.2 c/t) PPL 22.109 | overall: 101171 tok PPL 16.336
Progress: 410000/1254250 chars | chunk: 1106 tok (4.5 c/t) PPL 23.972 | overall: 102276 tok PPL 16.404
Progress: 415000/1254250 chars | chunk: 1126 tok (4.4 c/t) PPL 22.479 | overall: 103401 tok PPL 16.461
Progress: 420000/1254250 chars | chunk: 1212 tok (4.1 c/t) PPL 16.010 | overall: 104612 tok PPL 16.455
Progress: 425000/1254250 chars | chunk: 1230 tok (4.1 c/t) PPL 15.395 | overall: 105841 tok PPL 16.442
Progress: 430000/1254250 chars | chunk: 1246 tok (4.0 c/t) PPL 18.429 | overall: 107086 tok PPL 16.464
Progress: 435000/1254250 chars | chunk: 1288 tok (3.9 c/t) PPL 11.218 | overall: 108373 tok PPL 16.389
Progress: 440000/1254250 chars | chunk: 1313 tok (3.8 c/t) PPL 11.026 | overall: 109685 tok PPL 16.312
Progress: 445000/1254250 chars | chunk: 1200 tok (4.2 c/t) PPL 14.877 | overall: 110884 tok PPL 16.296
Progress: 450000/1254250 chars | chunk: 1145 tok (4.4 c/t) PPL 15.009 | overall: 112028 tok PPL 16.282
Progress: 455000/1254250 chars | chunk: 1190 tok (4.2 c/t) PPL 13.820 | overall: 113217 tok PPL 16.254
Progress: 460000/1254250 chars | chunk: 1257 tok (4.0 c/t) PPL 12.288 | overall: 114473 tok PPL 16.204
Progress: 465000/1254250 chars | chunk: 1308 tok (3.8 c/t) PPL 12.704 | overall: 115780 tok PPL 16.160
Progress: 470000/1254250 chars | chunk: 1214 tok (4.1 c/t) PPL 13.280 | overall: 116993 tok PPL 16.127
Progress: 475000/1254250 chars | chunk: 1287 tok (3.9 c/t) PPL 14.001 | overall: 118279 tok PPL 16.102
Progress: 480000/1254250 chars | chunk: 1355 tok (3.7 c/t) PPL 13.201 | overall: 119633 tok PPL 16.066
Progress: 485000/1254250 chars | chunk: 1361 tok (3.7 c/t) PPL 10.635 | overall: 120993 tok PPL 15.992
Progress: 490000/1254250 chars | chunk: 1276 tok (3.9 c/t) PPL 13.297 | overall: 122268 tok PPL 15.961
Progress: 495000/1254250 chars | chunk: 1211 tok (4.1 c/t) PPL 12.302 | overall: 123478 tok PPL 15.920
Progress: 500000/1254250 chars | chunk: 1217 tok (4.1 c/t) PPL 12.717 | overall: 124694 tok PPL 15.885
Progress: 505000/1254250 chars | chunk: 1496 tok (3.3 c/t) PPL 10.792 | overall: 126189 tok PPL 15.813
Progress: 510000/1254250 chars | chunk: 1361 tok (3.7 c/t) PPL 11.399 | overall: 127549 tok PPL 15.758
Progress: 515000/1254250 chars | chunk: 1207 tok (4.1 c/t) PPL 21.219 | overall: 128755 tok PPL 15.802
Progress: 520000/1254250 chars | chunk: 1255 tok (4.0 c/t) PPL 23.174 | overall: 130009 tok PPL 15.860
Progress: 525000/1254250 chars | chunk: 1252 tok (4.0 c/t) PPL 18.793 | overall: 131260 tok PPL 15.886
Progress: 530000/1254250 chars | chunk: 1261 tok (4.0 c/t) PPL 15.680 | overall: 132520 tok PPL 15.884
Progress: 535000/1254250 chars | chunk: 1189 tok (4.2 c/t) PPL 21.979 | overall: 133708 tok PPL 15.930
Progress: 540000/1254250 chars | chunk: 1196 tok (4.2 c/t) PPL 18.205 | overall: 134903 tok PPL 15.949
Progress: 545000/1254250 chars | chunk: 1334 tok (3.7 c/t) PPL 14.137 | overall: 136236 tok PPL 15.930
Progress: 550000/1254250 chars | chunk: 1248 tok (4.0 c/t) PPL 11.451 | overall: 137483 tok PPL 15.882
Progress: 555000/1254250 chars | chunk: 1302 tok (3.8 c/t) PPL 13.740 | overall: 138784 tok PPL 15.861
Progress: 560000/1254250 chars | chunk: 1270 tok (3.9 c/t) PPL 15.626 | overall: 140053 tok PPL 15.858
Progress: 565000/1254250 chars | chunk: 1294 tok (3.9 c/t) PPL 14.265 | overall: 141346 tok PPL 15.843
Progress: 570000/1254250 chars | chunk: 1275 tok (3.9 c/t) PPL 14.110 | overall: 142620 tok PPL 15.827
Progress: 575000/1254250 chars | chunk: 1301 tok (3.8 c/t) PPL 13.112 | overall: 143920 tok PPL 15.800
Progress: 580000/1254250 chars | chunk: 1280 tok (3.9 c/t) PPL 13.559 | overall: 145199 tok PPL 15.779
Progress: 585000/1254250 chars | chunk: 1330 tok (3.8 c/t) PPL 12.043 | overall: 146528 tok PPL 15.740
Progress: 590000/1254250 chars | chunk: 1318 tok (3.8 c/t) PPL 12.350 | overall: 147845 tok PPL 15.706
Progress: 595000/1254250 chars | chunk: 1508 tok (3.3 c/t) PPL 14.139 | overall: 149352 tok PPL 15.689
Progress: 600000/1254250 chars | chunk: 1337 tok (3.7 c/t) PPL 12.269 | overall: 150688 tok PPL 15.655
Progress: 605000/1254250 chars | chunk: 1331 tok (3.8 c/t) PPL 10.321 | overall: 152018 tok PPL 15.598
Progress: 610000/1254250 chars | chunk: 1222 tok (4.1 c/t) PPL 20.148 | overall: 153239 tok PPL 15.630
Progress: 615000/1254250 chars | chunk: 1241 tok (4.0 c/t) PPL 17.698 | overall: 154479 tok PPL 15.646
Progress: 620000/1254250 chars | chunk: 1167 tok (4.3 c/t) PPL 21.555 | overall: 155645 tok PPL 15.683
Progress: 625000/1254250 chars | chunk: 1185 tok (4.2 c/t) PPL 22.133 | overall: 156829 tok PPL 15.724
Progress: 630000/1254250 chars | chunk: 1230 tok (4.1 c/t) PPL 21.102 | overall: 158058 tok PPL 15.760
Progress: 635000/1254250 chars | chunk: 1223 tok (4.1 c/t) PPL 14.402 | overall: 159280 tok PPL 15.749
Progress: 640000/1254250 chars | chunk: 1238 tok (4.0 c/t) PPL 14.610 | overall: 160517 tok PPL 15.740
Progress: 645000/1254250 chars | chunk: 1143 tok (4.4 c/t) PPL 19.153 | overall: 161659 tok PPL 15.762
Progress: 650000/1254250 chars | chunk: 1164 tok (4.3 c/t) PPL 18.945 | overall: 162822 tok PPL 15.783
Progress: 655000/1254250 chars | chunk: 1164 tok (4.3 c/t) PPL 15.028 | overall: 163985 tok PPL 15.777
Progress: 660000/1254250 chars | chunk: 1119 tok (4.5 c/t) PPL 17.906 | overall: 165103 tok PPL 15.791
Progress: 665000/1254250 chars | chunk: 1176 tok (4.3 c/t) PPL 15.433 | overall: 166278 tok PPL 15.788
Progress: 670000/1254250 chars | chunk: 1255 tok (4.0 c/t) PPL 14.981 | overall: 167532 tok PPL 15.782
Progress: 675000/1254250 chars | chunk: 1169 tok (4.3 c/t) PPL 18.331 | overall: 168700 tok PPL 15.798
Progress: 680000/1254250 chars | chunk: 1185 tok (4.2 c/t) PPL 20.900 | overall: 169884 tok PPL 15.829
Progress: 685000/1254250 chars | chunk: 1176 tok (4.3 c/t) PPL 16.415 | overall: 171059 tok PPL 15.833
Progress: 690000/1254250 chars | chunk: 1139 tok (4.4 c/t) PPL 22.589 | overall: 172197 tok PPL 15.870
Progress: 695000/1254250 chars | chunk: 1258 tok (4.0 c/t) PPL 15.447 | overall: 173454 tok PPL 15.867
Progress: 700000/1254250 chars | chunk: 1380 tok (3.6 c/t) PPL 10.140 | overall: 174833 tok PPL 15.811
Progress: 705000/1254250 chars | chunk: 1389 tok (3.6 c/t) PPL 9.464 | overall: 176221 tok PPL 15.748
Progress: 710000/1254250 chars | chunk: 1395 tok (3.6 c/t) PPL 11.433 | overall: 177615 tok PPL 15.708
Progress: 715000/1254250 chars | chunk: 1384 tok (3.6 c/t) PPL 11.887 | overall: 178998 tok PPL 15.674
Progress: 720000/1254250 chars | chunk: 1334 tok (3.7 c/t) PPL 12.446 | overall: 180331 tok PPL 15.647
Progress: 725000/1254250 chars | chunk: 1239 tok (4.0 c/t) PPL 12.668 | overall: 181569 tok PPL 15.625
Progress: 730000/1254250 chars | chunk: 1204 tok (4.2 c/t) PPL 16.572 | overall: 182772 tok PPL 15.631
Progress: 735000/1254250 chars | chunk: 1220 tok (4.1 c/t) PPL 14.712 | overall: 183991 tok PPL 15.625
Progress: 740000/1254250 chars | chunk: 1319 tok (3.8 c/t) PPL 14.023 | overall: 185309 tok PPL 15.613
Progress: 745000/1254250 chars | chunk: 1227 tok (4.1 c/t) PPL 15.840 | overall: 186535 tok PPL 15.614
Progress: 750000/1254250 chars | chunk: 1190 tok (4.2 c/t) PPL 16.699 | overall: 187724 tok PPL 15.621
Progress: 755000/1254250 chars | chunk: 1138 tok (4.4 c/t) PPL 21.257 | overall: 188861 tok PPL 15.650
Progress: 760000/1254250 chars | chunk: 1235 tok (4.0 c/t) PPL 19.717 | overall: 190095 tok PPL 15.673
Progress: 765000/1254250 chars | chunk: 1141 tok (4.4 c/t) PPL 21.176 | overall: 191235 tok PPL 15.701
Progress: 770000/1254250 chars | chunk: 1154 tok (4.3 c/t) PPL 21.856 | overall: 192388 tok PPL 15.733
Progress: 775000/1254250 chars | chunk: 1203 tok (4.2 c/t) PPL 20.182 | overall: 193590 tok PPL 15.757
Progress: 780000/1254250 chars | chunk: 1189 tok (4.2 c/t) PPL 26.072 | overall: 194778 tok PPL 15.805
Progress: 785000/1254250 chars | chunk: 1217 tok (4.1 c/t) PPL 26.219 | overall: 195994 tok PPL 15.855
Progress: 790000/1254250 chars | chunk: 1217 tok (4.1 c/t) PPL 25.440 | overall: 197210 tok PPL 15.901
Progress: 795000/1254250 chars | chunk: 1170 tok (4.3 c/t) PPL 29.275 | overall: 198379 tok PPL 15.959
Progress: 800000/1254250 chars | chunk: 1151 tok (4.3 c/t) PPL 24.696 | overall: 199529 tok PPL 15.999
Progress: 805000/1254250 chars | chunk: 1268 tok (3.9 c/t) PPL 20.549 | overall: 200796 tok PPL 16.024
